frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
9,113.49141889969405,109.61909561201165,14.952705301435698,5.162497862400626,179.1811733447899,174.85576319851663,164.6880012008373,167.4267970991601,89.09760900015289,94.92383356711073,71.22529329929202,53.68158117192195,5.310592267654277,0.03844197840545318,end,pushup,good,97,None
10,154.87160385287766,149.9140165112776,42.60773896552292,33.86056477667438,176.0893509110325,178.2759996049093,167.34457450922622,160.1626457207592,100.53919830080712,99.76586580364554,61.253685371913896,76.90364767691558,4.769334301990794,0.022058962351111072,end,pushup,good,90,None
11,168.3904989819475,167.26093062035434,49.106076773825635,44.92607085646905,176.23285476892133,176.8772349645982,169.25027942384824,162.6113509197608,103.77528387555502,104.78538970525146,58.089393135380504,72.75628103670756,2.7205977616820944,0.024609790946204937,end,pushup,good,98,None
12,172.26830230165695,172.11793629336896,52.38068924951565,47.82876012140406,175.14417836492265,176.88288203541427,170.81673474106137,165.1809631096316,102.30356990148479,104.15545635518735,58.30791688944684,70.77566378315396,2.7857313784047064,0.026537546720672458,end,pushup,good,96,None
1,173.77731165254897,175.0558546768736,52.858052101997664,48.805246049255125,177.88602885262392,179.44311280845992,173.40858856367686,167.73785483321285,102.1313014464994,103.83390249478721,57.659983126898325,72.10892179765962,2.8523535623309924,0.026466846555421697,start,pushup,good,95,None
2,173.08754989787784,172.68704818135095,54.73642602558578,49.61199642518896,176.38070170536068,177.00513597857883,173.35035983896057,168.1185983343284,101.31597838153418,105.19083833426426,59.96652028607894,71.03637458751291,3.0511974095008227,0.026942265952682915,start,pushup,good,95,None
3,153.98529347771864,152.57645732246945,41.85136469989123,36.885386031260126,177.93088219810394,176.9298445784479,174.47169096056828,171.70734442575824,98.10936617791565,105.96734527445885,61.59337399430693,46.36622693439387,3.5996356149779176,0.02886464308607832,start,pushup,good,99,None
4,120.02590681256385,123.77300310602119,18.382548112863706,17.08799603926239,169.6126446278335,168.8082949339053,176.52314202602696,173.2606509481646,93.04820248045098,100.56199652354681,67.04948476893365,46.21993173878413,3.3244566363890113,0.03591901521361441,start,pushup,good,99,None
5,83.54039208499144,82.70935945845396,11.59816463311648,15.727221997521816,169.54703473283251,168.60782390676448,171.61350333262877,171.55563906605983,85.0739971375972,93.66596293100795,73.02589797813803,75.03354092026852,2.9098261753981083,0.041959563624732056,mid,pushup,good,98,None
6,68.4170460766011,64.27182068918835,22.08078403512947,29.775476982500482,170.38226785949985,166.70093840142718,173.12736761030243,173.4941093622108,82.81335470886367,90.43463274784341,76.25367570218103,66.43969513897005,4.701853516748907,0.04214081877367611,mid,pushup,good,90,None
7,100.1317195453478,96.8143835243631,6.187467406854254,0.6103156525019123,179.42589287760438,174.92080456110963,167.14737707240965,166.84998027948512,87.41177057504235,92.60353954677257,74.16262758872931,58.617036675827286,3.7777483712973092,0.038547607516466235,mid,pushup,good,95,None
8,130.06416830102756,127.28806634616224,29.76044415714492,24.62219861639758,177.9740315109232,179.67230143536094,171.0472722498193,163.22311692724003,94.24651104645139,93.01622833553678,69.98854065258399,40.80628815999417,3.7334110907088545,0.02999194147852302,mid,pushup,good,95,None
9,158.7419670755042,152.39326257490063,46.319225842677604,37.98560824195802,174.56044303007582,176.4874375543367,169.12010605624351,162.2309056048569,100.00720129120585,99.71369031909485,63.25453295270764,70.54108072493548,4.758405609816329,0.026387192310460345,end,pushup,good,92,None
10,168.2274515799387,168.3544286529977,49.12241651159618,46.159849079378745,177.53818335216658,177.24946545591757,171.888468449007,165.36699256387593,103.72234874930464,102.66609256283213,58.77370179748672,82.3017320710082,2.191198894625809,0.024622332420563168,end,pushup,good,95,None
11,172.5230844448645,173.1592535927955,50.688917891504666,47.37035749101176,179.3631819005482,179.46161568819292,172.55454232709434,167.0698952187987,102.58388024746266,102.35639789574002,56.9655454737349,78.73658880993804,1.953058559217378,0.025737552732994672,end,pushup,good,93,None
12,172.20673636663798,174.50850280093266,50.8824218979821,47.719750025417085,179.17216565964003,179.7828379027164,172.9089797388721,167.56119660968065,102.17703505506799,102.36040079469358,57.211895287083394,81.98151787553722,2.3212518837506195,0.02762873340586618,end,pushup,good,100,None
1,172.73012324663944,175.27521292719763,51.641141503940915,48.3766852899547,179.0674240451955,179.80288455954692,173.5781692618281,168.12937554455885,102.65542482217039,102.62193796027788,57.76889446112919,84.65030872587377,2.405457397611515,0.026747475104307417,start,pushup,good,93,None
2,172.78656460444924,174.908344881882,51.26374014612213,47.768173591021004,179.42719097753854,179.40661575162858,172.9840227602612,167.76988216055364,102.19094304712974,102.33387323278909,57.48781588814517,83.52609492279522,2.1989985687621543,0.026597052893196166,start,pushup,good,91,None
3,167.99489749088596,168.20200212859865,46.76247775419696,41.49404115990527,177.21730162267835,176.49856153629617,172.48133354550586,167.08953940711882,101.85572172313694,104.36192985588185,55.813277622032494,63.16313576735438,2.818456717903703,0.028804425715753975,start,pushup,good,90,None
4,146.0123273667764,148.11031448418154,33.914602355901906,28.926136167978363,174.3565853335687,170.1700522057088,173.8423967272965,169.00657461875792,94.7341702314183,97.39791325053176,61.672588548422624,37.65772622244609,3.754510312168121,0.035198456130085376,start,pushup,good,93,None
5,99.84480074757947,100.71603271140663,4.155982380130241,5.844681366316823,167.3770369656488,167.75867800344386,172.4577319516523,171.94496790665545,85.23222123058093,92.44780335099354,68.76199659516618,43.78934775908314,2.13398363064365,0.04014884376029676,mid,pushup,good,100,None
6,71.62888901728954,70.48742829695829,23.747524301375986,30.225391202033716,169.38607285380849,167.55722606408972,167.2167171946616,169.43444397311592,80.72571004530519,87.94564333796782,73.24808205744068,74.20150867804132,3.7771668963649376,0.04337234153676215,mid,pushup,good,96,None
7,77.4985575958221,76.45246683146206,15.12229729634151,20.65862461432779,175.55709678628395,174.23431742142398,169.46071619109324,169.76404679989045,86.227690397599,91.34563088825672,76.56768131110223,61.74292289059829,2.6652937093322437,0.04075844921107707,mid,pushup,good,97,None
8,105.30181750561694,90.84251627235584,10.679701648069551,5.212772909695291,179.6510730164846,178.14961744403402,171.36144862342368,169.05665996200605,93.64824056345753,97.26299182142158,76.71240966761543,65.83123653752662,5.469445092693521,0.030626499590154222,mid,pushup,good,92,None
9,148.06092065687957,145.09331644043357,40.06076064267045,34.86272293713432,173.16393006095564,174.24673341395737,167.4846501688881,162.66926686456685,102.69881553692821,102.80191540768804,66.55019259970736,58.932668665501566,2.83338569001299,0.025932714322708692,end,pushup,good,95,None
10,165.87913219727065,163.3653081022226,49.654139548286494,45.409812186141785,173.5384930968291,172.34637391299725,169.50934002785962,162.73001617578566,107.65347537282673,107.76706847680903,61.33272841735391,71.09683527948701,2.96863751941617,0.022136126260252968,end,pushup,good,96,None
