frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,hip_angle,knee_angle,phase,label,form
60,162.92498846667138,160.7979733115921,47.19111162357292,41.81940997282378,178.65420978985523,173.89037864133385,start,pushups,good
61,158.05529859693578,157.68441192012926,44.69327954674358,40.35548568857801,179.67511948859655,175.84830311386878,down,pushups,good
62,152.8374672331971,154.37532296730834,42.84034733974436,39.93486652025907,178.30873501434058,176.2228235799621,down,pushups,good
63,146.97620984884216,148.9288928376128,40.93043166165456,38.57847115407064,176.55501152782443,175.17260375900176,down,pushups,good
64,143.4866205388138,145.2589142835149,39.51027995856621,37.38981154017926,176.6293866013446,173.54544737949155,down,pushups,good
65,138.03249580078935,140.22230365212673,35.82953897855598,34.476976807157165,177.46488014354918,173.197505504994,down,pushups,good
66,132.52351333085866,136.12857479081717,32.67817382954752,31.843521568595804,175.517819697748,171.8105370620603,down,pushups,good
67,125.11682013533552,129.56158577314852,28.095543547262864,27.48712908685563,174.36952564886133,169.91945444117357,down,pushups,good
68,117.9773809966911,123.41276387916564,23.023482277532583,22.54917625299018,175.4876115569239,169.12096819187315,down,pushups,good
69,110.9263990555162,115.7048617081793,17.95658817463082,17.79459185124049,174.62216709778497,167.28317668599936,down,pushups,good
70,105.95664821985814,112.5145232600402,13.813669511504813,16.077824459834318,174.95209888934966,166.45103297078958,down,pushups,good
71,101.07014260760651,104.9543001255574,9.470959191065608,9.668573013904927,177.09264100214526,167.99338454508862,down,pushups,good
72,92.30680537642742,98.95959075335897,1.0923407216081693,3.4767809917131696,179.0928137494573,169.68589385490574,down,pushups,good
73,84.6113426793645,89.49637980216778,6.130229108170461,4.298448023121061,178.54942730357882,167.57819445581768,bottom,pushups,good
74,82.86978118472899,84.58356832325987,10.37304880366045,10.440987347160664,178.71310840709455,164.9067912148074,bottom,pushups,good
75,80.28424147980547,78.56511244074879,14.158099944111932,15.577744052627969,177.0585659458989,166.18104867040685,bottom,pushups,good
76,77.41343923410835,66.81559504618212,16.04703144320612,24.960129348416626,177.27882500574842,165.90054583686668,bottom,pushups,good
77,72.4381847942668,63.65023137805567,19.21539917541727,27.774594039561784,177.14951706032872,167.55779404190596,bottom,pushups,good
78,71.43127987452768,62.94881031668854,20.805708323708608,29.66309327493024,174.58359031790548,168.7417298879767,bottom,pushups,good
79,69.93723015031857,61.43064631739435,21.80682132846953,31.17643634988149,174.20784885439866,168.32919906434327,bottom,pushups,good
80,68.89499968368067,61.50107155205514,22.158417071844667,31.75206019066335,175.35255439819048,166.58595524055724,bottom,pushups,good
81,68.9942423373465,61.86513916833268,22.50027067464005,31.982448470039444,173.9606123059338,166.68336589747994,bottom,pushups,good
82,68.59420838030024,60.35958056636639,22.290642149096552,32.521100745974294,175.46041903950504,165.48319669753857,bottom,pushups,good
83,69.49238375889142,58.7436423833585,22.129122095779294,33.566770166327494,175.90767162580374,164.9638915798136,bottom,pushups,good
84,70.74616632149393,59.88972957018442,21.849165633705777,32.96453798823834,175.62054208932693,165.49843610282088,bottom,pushups,good
85,76.04309910965415,65.82676461315104,16.335132307611985,27.428541294273867,178.39741526017204,164.7968593830899,bottom,pushups,good
86,84.84875708673862,79.45036731621563,7.918355205252049,15.42952102310375,179.1159116749294,165.0683784676879,bottom,pushups,good
87,95.57062676897976,90.6738819382332,2.083940727454736,5.069782607315957,175.92830512732291,163.0661273283626,up,pushups,good
88,105.16050149954408,101.29844521337304,9.566196609788308,2.78243272210569,176.1497453974076,162.78622439389358,up,pushups,good
89,112.50450686581016,110.6517639628878,15.956941537669602,9.586349904887554,175.5306783514113,164.3508185144622,up,pushups,good
90,119.8117777199916,116.70637690290722,21.77181799831113,13.768049794467473,175.92481241218147,166.58237921314,up,pushups,good
91,126.07873255725396,123.78029826279597,24.78804800170529,17.11593779186969,178.92144864801926,168.02200137965602,up,pushups,good
92,132.99429088524454,129.48325796930712,28.631370464855927,20.99248556840828,177.4582970809652,172.0974486958222,up,pushups,good
93,137.69779017318822,133.16098929701462,32.071668743202515,23.275567157880428,177.01171365455963,173.3757889828447,up,pushups,good
94,142.14541955338555,135.76658369780944,33.62378662017718,24.57954968448304,174.40491353026147,174.55868062516004,up,pushups,good
95,145.08212703453933,138.700431195496,35.38235213156577,26.62650334480537,174.37049584279328,174.55505992417636,up,pushups,good
96,147.78241959916755,145.2556236543052,36.410933584003295,32.245888311939694,174.22410175910096,173.83661979835426,up,pushups,good
97,150.7099626443697,149.62943551105275,37.15151683997542,33.79553940930357,173.5902672070913,175.86715767593773,up,pushups,good
98,153.94275929365807,152.73503689796,39.78495776629786,35.113501165840695,175.38753794476384,176.2512483734772,up,pushups,good
99,157.0980623998236,155.99802006002304,41.12220091087065,36.61706472576402,175.95255588045188,176.63528957964598,up,pushups,good
100,159.89720187420536,159.63727476699765,42.7034482776297,38.23332138111967,176.2762477444061,176.35251426131842,up,pushups,good
101,164.1438042581064,164.54196498879242,45.30943823952239,41.1699796278484,177.08010135960436,175.74017161943877,start,pushups,good
102,165.694343999691,166.18098727610953,47.09109730103021,43.16370961338434,178.68958601272732,174.98826785705006,start,pushups,good
103,167.3606835204278,169.0171048974592,48.39013334925456,45.090584334355206,179.80523011818045,174.42902546776958,start,pushups,good
104,169.8656186215183,171.51345540649183,50.288684020762574,47.5455681785464,177.94599188903464,173.35516313254482,start,pushups,good
105,172.68489051715406,174.1969800232294,52.91602308360928,49.5018794155325,176.0559572840167,173.1389303170116,start,pushups,good
106,174.5991782856965,176.60598615550302,54.107988407369554,50.498490215193485,175.92800436804745,172.76211749837742,start,pushups,good
107,175.5744508506661,177.2839963557405,55.16204251672698,51.07386636073471,175.1502827207017,172.47282538793456,start,pushups,good
108,175.69141144781744,176.97753257444597,56.01370347502221,51.27714537094111,174.50514593930234,172.7061485396197,start,pushups,good
109,175.31486595468624,176.51234158531346,55.75563391222717,51.03182511262848,174.44440377481286,172.87547988963613,start,pushups,good
110,175.38021919865596,176.33637002641154,56.29007388904926,51.354558643381424,173.78631226777046,172.7771985645745,start,pushups,good
111,175.27633307686682,175.9038352650696,56.34913304147965,51.42711876154608,174.14899702432615,173.10984248582344,start,pushups,good
112,175.0995111108528,175.64740116807556,56.20041037914028,51.31438611021042,174.5888253321058,173.50194902832354,start,pushups,good
113,174.98394101213972,175.32290829678664,56.0958337838595,51.19282969440858,174.9194287959812,173.84945025587345,start,pushups,good
114,174.84036383701857,174.1465562640806,55.08647270123261,50.34921211101032,176.75641403733425,174.54390695789365,start,pushups,good
115,174.73158147232775,173.46796654849396,54.487214834612026,49.78250062886247,177.8896623320428,175.03206975983204,start,pushups,good
116,174.87982491345417,173.60366366002424,55.246997719982616,50.2254343675282,176.56169084535026,174.64972651469387,start,pushups,good
117,174.9461694038574,173.62756127015152,55.65465592154917,50.467115158953646,175.96234760352937,174.64360233561231,start,pushups,good
118,174.99627322705507,173.64201525897116,55.92080889885645,50.64227049471811,175.62879878422834,174.7481447553243,start,pushups,good
119,175.0614665933245,173.57639935415875,56.09119562825416,50.71061967811891,175.59152497927948,175.07114064783602,start,pushups,good
120,175.12416020159824,173.5741285295016,56.17769170399448,50.70502889236658,175.7185471802737,175.61330592475355,start,pushups,good
121,175.159361227436,173.55115217497675,56.24324048463353,50.68728740509296,175.77810109331915,176.0986180369579,start,pushups,good
122,175.2372824189519,173.5590815128156,56.30701367563224,50.632756442606464,175.75890936606928,176.3294992220982,start,pushups,good
123,175.3366119182665,173.552193219769,56.376899807258106,50.59841410745554,175.73754423097515,176.48597694522942,start,pushups,good
124,175.4688685482429,173.58174777636066,56.44623582399648,50.56635336475402,175.69588377397707,176.54360281562688,start,pushups,good
1,175.5160527836498,173.2454564039095,56.046575174162925,50.00945798696399,176.83789567343675,177.08253813397764,start,pushups,good
2,175.55129509608585,173.05700182086494,55.80073483315738,49.65666056222405,177.58787056948609,177.5141594012653,start,pushups,good
3,175.54928959304024,172.9277173946149,55.30671214105,49.15735633499177,178.74977538245662,177.8395393215681,start,pushups,good
4,175.42134270225324,172.65331036467734,54.19142905989222,48.40803991027182,178.98129107571148,178.66398979739822,start,pushups,good
5,174.6772357950573,171.57262299037257,53.19551128211649,47.16094168051947,178.23327412218782,177.9669090521866,start,pushups,good
6,172.03146904311217,169.39228758465032,51.184251530480594,45.01292934768538,177.48120690552625,177.33435619076346,start,pushups,good
7,169.55935806915002,167.15368382700422,49.54502856289449,43.449533581616606,176.65172204651842,177.59054468622818,start,pushups,good
8,166.893806225913,165.06762988771246,47.88385815410885,41.87022596991888,175.47460935302016,178.20004165923024,start,pushups,good
9,165.7638860540944,163.3614280808005,47.382633045089584,40.76098236190239,175.00445956606885,177.9691735167278,start,pushups,good
10,163.41768483141269,161.23560724540698,46.06136326983185,39.48262103343927,174.9090297780256,177.04304616117207,start,pushups,good
11,159.44436129077928,158.4184532530529,43.87454760380181,38.02442229016873,173.897095953207,177.64459418876157,down,pushups,good
12,155.17660755262872,155.66967673835606,40.998264637790285,36.26268264196897,173.8251163022039,176.33591535847103,down,pushups,good
13,149.44409433188778,149.872406953528,38.4330398088724,34.223483793607535,175.93283807466338,174.13122825170257,down,pushups,good
14,144.46508991466487,145.18228931004126,36.15463996091108,32.90792230154008,177.59313081305365,172.46597472883332,down,pushups,good
15,141.37271076779288,142.40452291125774,35.04383332724106,31.36795353013558,179.42966529605684,171.6981043545922,down,pushups,good
16,137.59015240712904,137.95967085169883,32.95290459386066,28.21638822031942,178.8191727931125,172.8739032116908,down,pushups,good
17,133.43898301476915,132.41770364436678,30.704691526801696,25.29806007617984,179.58306649902138,174.20062187869758,down,pushups,good
18,127.95615002100894,128.1486576952622,26.99593499679022,22.024048636024027,179.210956204794,174.0914758402105,down,pushups,good
19,122.09636539690298,124.22264540382982,23.70057347140988,19.42402255564729,177.2177899245318,172.5520466175037,down,pushups,good
20,118.80211667781464,121.3439155609329,20.757385711798225,17.279963472533115,179.362794388163,172.82319577785327,down,pushups,good
21,116.18111137788308,120.10486308926828,18.04869158685291,16.59380244512836,179.06797000826947,172.29152751740511,down,pushups,good
22,109.2547487672962,113.27652243469224,11.748908673358166,10.606209974149648,177.63954052739214,171.29311434544329,down,pushups,good
23,103.68943927177084,108.30241079907046,8.343803553210467,7.315052387849946,177.80803374298048,173.11575228775868,down,pushups,good
24,98.53406555909804,102.0072769463216,4.819572103907522,3.6531268469410327,178.69812573229393,172.1853905183101,down,pushups,good
25,93.8355013622887,98.39925988287528,0.2159096007385294,0.3352214239164259,177.34143520944977,172.24024639743337,down,pushups,good
26,87.94535285347906,94.10858297260178,4.945865756222467,2.7612953230602444,176.91815147448014,172.16388208543367,bottom,pushups,good
27,81.26169903499962,83.48099336566827,11.1197854725738,12.42299794664608,176.4664201312849,172.37346165879433,bottom,pushups,good
28,79.99172279123427,75.75499000566771,13.17972571760866,19.365703739538528,174.6024862298801,172.66556369238506,bottom,pushups,good
29,71.99270206847548,67.20001794905649,19.64063014178525,28.16594717870753,174.39871120032717,173.0139056465805,bottom,pushups,good
30,68.72069821858814,62.19420900440069,22.218443512074195,33.418741286117935,174.18713409341524,172.88476462083756,bottom,pushups,good
31,67.85042327861483,60.631362527962416,23.791491911359834,36.03445694514418,171.24365274107538,174.48572328159617,bottom,pushups,good
32,65.77198775466437,59.2537041030585,24.9278176829435,38.24090913391127,172.4062746135089,172.92271905026865,bottom,pushups,good
33,63.914716774748605,58.259434681257005,25.793753144751467,39.203307189781405,174.0984004620775,171.12897137317793,bottom,pushups,good
34,63.55574215034101,57.63256541744922,26.501499538836818,40.32767316031292,173.9369049910192,169.78150450088052,bottom,pushups,good
35,64.37012837115573,58.39118432261937,25.880981658879843,39.9980323811868,173.68165839328486,168.9676606679321,bottom,pushups,good
36,65.7200604431697,58.90125088154388,24.681752146673738,38.12801741676935,173.2903042878002,168.9888115869962,bottom,pushups,good
37,66.20718325293149,59.680899412533215,24.476893884056043,37.75023720499502,173.33437746981275,168.87314129202142,bottom,pushups,good
38,66.34003680196588,59.153810983803474,26.264610400051144,38.40516722829518,174.5148522229806,168.2164841187294,bottom,pushups,good
39,72.95769482773333,62.90304257894385,20.54182179584913,34.43719821248216,175.32990366390084,168.80988449433406,bottom,pushups,good
40,87.12570961866722,82.3993524404798,6.100664624545932,14.725402633612656,179.5009411876685,168.40679695475197,bottom,pushups,good
41,97.26936518033668,97.1703060847764,2.60542817549052,2.318571395104822,178.49256575928754,168.25964973377123,up,pushups,good
42,106.4311875408204,107.38596233268146,11.128443982248696,7.388583557446772,176.28013668216596,167.43468349508186,up,pushups,good
43,115.52408083985576,116.61301675658964,16.876960200423852,12.683454522780533,178.54829512461086,171.08845470468015,up,pushups,good
44,120.46907341167592,122.13117616544898,21.97058580064256,17.57459424139779,176.62430913661944,172.06839801237626,up,pushups,good
45,125.37769208516627,126.37204112534162,26.129548780229356,20.82717472680889,175.70936141653405,171.41591839078032,up,pushups,good
